customerId,recommendedProducts
1387,226|247|230|125|248|294|72|276|165|83
1412,226|247|230|125|248|294|72|276|165|83
1416,226|247|230|125|248|294|72|276|165|83
1425,226|247|230|125|248|294|72|276|165|83
1434,226|247|230|125|248|294|72|276|165|213
1455,226|247|230|125|248|294|72|276|165|83
1475,226|247|230|125|248|294|72|276|165|83
1504,226|247|230|125|248|294|72|276|165|83
1553,226|247|230|125|248|294|72|276|165|83
1559,226|247|230|125|248|294|72|276|165|83
1583,247|230|125|248|294|72|276|165|83|204
1586,226|247|230|125|248|294|72|276|165|83
1619,226|247|230|125|248|294|72|276|165|83
1653,226|247|230|125|248|294|72|276|165|83
1668,226|247|230|125|248|294|72|276|165|83
1695,226|247|230|125|248|294|276|165|83|213
1705,226|247|230|125|248|294|72|276|165|83
1730,226|247|230|125|248|294|72|276|165|83
1743,226|247|230|125|248|294|72|276|165|83
1757,226|247|230|125|248|294|72|276|165|83
1768,226|247|230|125|248|294|72|276|165|83
1783,226|247|230|125|248|294|72|276|165|83
1851,226|247|230|125|248|294|72|276|165|83
1870,226|247|230|125|248|294|72|276|165|83
1911,226|247|230|125|248|294|72|276|165|83
1916,226|247|230|125|248|294|72|276|165|83
1939,226|247|230|125|248|294|72|276|165|83
1981,226|247|230|125|248|294|72|276|165|83
2008,226|247|230|125|248|294|72|276|165|83
2029,226|247|230|125|248|294|72|276|165|83
2043,226|247|230|125|248|294|72|276|165|83
2052,226|247|230|125|248|294|72|276|165|83
2062,226|247|230|125|248|294|72|276|165|83
2087,226|247|230|125|248|294|72|276|165|83
2143,226|247|230|125|248|294|72|276|165|83
2202,226|247|230|125|248|294|72|276|165|83
2232,226|247|230|125|248|294|72|276|165|83
2265,226|247|230|125|248|294|72|276|165|83
2278,226|247|230|125|248|294|276|165|83|213
2279,226|247|230|248|125|294|72|276|165|83
2283,226|247|230|125|248|294|72|276|165|83
2285,226|247|230|125|248|294|72|276|165|83
2315,226|247|230|125|248|294|72|276|165|83
2347,226|247|230|125|248|294|72|276|165|83
2388,226|247|230|125|248|294|72|276|165|83
2396,226|247|230|125|248|294|72|276|165|83
2403,226|247|230|125|248|294|72|276|165|83
2409,226|247|230|125|248|294|276|165|83|213
2410,226|247|230|125|248|294|72|276|165|83
2414,226|247|230|125|248|294|72|276|165|83
2417,226|247|125|248|294|72|276|165|83|213
2430,226|247|230|125|248|294|72|276|165|83
2466,226|247|230|125|248|294|72|276|165|83
2478,226|247|230|125|248|294|72|276|165|83
2479,226|247|230|125|248|294|72|276|165|83
2531,226|247|230|125|248|294|72|276|165|83
2536,226|247|230|125|248|294|72|276|165|83
2579,226|247|230|125|248|294|72|276|165|83
2581,226|247|230|125|248|294|72|276|165|83
2590,226|247|230|125|248|294|72|276|83|165
2615,226|247|230|125|248|294|72|276|165|83
2624,226|247|230|125|248|294|72|276|83|213
2626,226|247|230|125|248|294|276|83|213|74
2654,226|247|230|125|248|294|72|276|165|83
2670,226|247|230|125|248|294|72|276|165|83
2715,226|247|230|125|248|294|72|276|165|213
2724,226|247|230|125|248|294|72|276|165|83
2770,226|247|230|125|248|294|72|276|165|83
2815,226|247|230|125|248|294|72|276|165|83
2819,226|247|230|125|248|294|72|276|165|83
2831,226|247|230|125|248|294|72|276|165|83
2833,226|247|230|125|248|294|72|276|165|83
2842,226|247|230|125|248|294|72|276|165|83
2865,226|247|230|125|248|294|72|276|83|165
2878,226|247|230|125|248|294|72|276|165|83
2892,226|247|230|125|248|294|72|276|165|83
2914,226|247|230|125|248|294|72|276|165|83
2977,226|247|230|125|248|294|72|276|165|83
2978,226|230|125|248|294|72|276|165|83|213
2993,226|247|230|125|248|294|72|276|165|83
3003,226|247|230|125|248|294|72|276|165|83
3012,226|247|230|125|248|294|72|276|165|83
3018,226|247|230|125|248|294|72|276|165|83
3020,226|247|230|125|248|294|276|165|83|213
3026,226|247|230|125|248|294|72|276|165|83
3045,226|247|230|125|248|294|72|276|165|83
3087,226|247|230|125|294|72|276|165|83|213
3115,226|247|230|125|248|294|72|276|165|83
3171,226|247|230|125|248|294|72|276|165|83
3196,226|247|230|125|248|294|72|276|165|83
3223,226|247|230|125|248|294|72|276|165|83
3230,226|247|230|125|248|294|72|276|165|83
3240,226|247|230|125|248|294|72|276|165|83
3257,226|247|230|125|248|294|72|276|165|83
3272,226|247|230|125|248|294|72|276|165|83
3300,226|247|230|125|248|294|72|276|165|83
3341,226|247|230|125|248|294|72|276|165|83
3348,226|247|230|125|248|294|72|276|165|83
3369,226|247|230|125|248|294|72|276|165|83
3386,226|247|230|125|248|294|72|276|165|83
3399,226|247|230|125|248|294|72|276|165|213
3431,226|247|230|125|248|294|72|276|165|83
3444,226|247|230|125|248|294|72|276|165|83
3549,226|247|230|125|248|294|72|276|165|83
3557,226|247|230|125|248|294|72|276|165|83
3593,226|247|230|125|248|294|72|276|165|83
3609,226|247|230|125|248|294|72|276|165|83
3645,226|247|230|125|248|294|72|276|165|83
3651,226|247|230|125|248|294|72|276|165|83
3699,226|247|230|125|248|294|72|276|165|83
3709,226|247|230|125|248|294|72|276|165|83
3716,226|247|230|125|248|294|72|276|165|83
3731,226|247|230|125|248|294|72|276|165|83
3762,226|247|230|125|248|294|72|276|165|83
3768,226|247|230|125|248|294|72|276|165|83
3769,226|247|230|125|248|294|72|276|165|83
3773,226|247|230|125|248|294|72|276|165|83
3775,226|247|230|125|248|294|72|276|165|83
3797,226|247|230|125|248|72|276|165|83|213
3800,226|247|230|125|248|294|72|276|165|83
3843,226|247|230|125|248|294|72|276|165|83
3851,226|247|230|125|248|294|72|276|165|83
3865,226|247|230|125|248|294|72|276|165|83
3879,226|247|230|125|248|294|72|276|165|83
3891,226|247|230|125|248|294|72|276|165|83
3899,226|247|230|125|248|294|72|276|165|83
3955,226|247|230|125|248|294|72|276|165|83
3978,226|247|230|125|248|294|72|276|165|83
3984,226|247|230|125|248|294|72|276|165|83
4007,226|247|230|125|248|294|72|276|165|83
4070,226|247|230|125|248|294|72|276|165|83
4087,226|247|230|125|248|294|72|276|165|83
4118,226|247|230|125|248|294|72|276|165|83
4152,226|247|230|125|248|294|72|276|165|83
4175,226|247|230|125|248|294|72|276|165|83
4207,226|247|230|125|248|294|72|276|83|213
4233,226|247|230|125|248|294|72|276|165|83
4269,226|247|230|125|248|294|72|276|165|83
4271,226|247|230|125|248|294|72|276|165|83
4339,226|247|230|125|248|294|72|276|165|83
4392,226|247|230|125|248|294|72|276|165|83
4405,226|247|230|125|248|294|72|276|165|83
4407,226|247|230|125|248|294|72|276|165|83
4418,226|247|230|125|248|294|72|276|165|83
4442,226|247|230|125|248|294|72|276|165|83
4449,226|247|230|125|248|294|72|276|165|83
4476,226|247|230|125|248|294|72|276|165|83
4516,226|247|230|125|248|294|72|276|165|83
4524,226|247|230|125|248|294|72|276|165|83
4527,226|247|230|125|248|72|276|165|83|213
4537,226|247|230|125|248|294|72|276|165|213
4564,226|247|230|125|248|294|72|276|165|83
4589,226|247|230|125|248|294|72|276|165|83
4608,226|247|230|125|248|294|72|276|165|83
4613,226|247|230|125|248|294|72|276|165|83
4618,226|247|230|125|248|294|72|276|165|83
4657,226|247|230|125|248|294|72|276|165|83
4659,226|247|230|125|248|294|72|276|165|83
4671,226|247|230|125|248|294|72|276|165|83
4717,226|247|230|125|248|294|72|276|165|83
4757,226|247|230|125|248|294|72|276|165|83
4776,226|247|230|125|248|294|72|276|165|83
4799,226|247|230|125|248|294|72|276|165|83
4800,226|247|230|125|248|294|72|276|165|83
4823,226|247|230|125|248|294|72|276|165|83
4848,226|247|230|125|248|294|72|276|165|83
4851,226|247|230|125|248|294|72|165|83|213
4871,226|247|230|125|248|294|72|276|165|83
4950,226|247|230|125|248|294|72|276|165|83
5001,226|247|230|125|248|294|72|276|165|83
5022,247|230|125|248|294|72|276|165|83|213
5065,226|247|230|125|248|294|72|276|165|83
5092,226|247|230|125|248|294|72|276|165|83
5095,226|247|230|125|248|294|72|276|165|83
5113,226|247|230|125|248|294|72|276|165|83
5118,226|247|230|125|248|294|72|276|165|83
5127,226|247|230|125|248|294|72|276|165|83
5193,226|247|230|125|248|294|72|276|165|83
5199,226|247|230|125|248|294|72|276|165|83
5200,226|247|230|125|248|294|72|276|165|83
5220,226|247|230|125|248|294|72|276|165|83
5242,226|247|230|248|294|72|276|165|83|213
5264,226|247|230|125|248|294|72|276|165|83
5273,226|247|230|125|248|294|165|72|276|83
5347,226|247|230|125|248|294|72|276|165|83
5361,226|247|230|125|248|294|276|165|83|204
5365,226|247|230|125|248|294|72|276|165|83
5368,226|247|230|125|248|294|72|276|165|83
5418,226|247|230|125|248|294|72|276|165|83
5430,226|247|230|125|248|294|72|276|165|83
5459,226|247|230|248|294|72|276|165|83|213
5461,226|247|230|125|248|294|72|276|165|83
5501,226|247|230|125|248|294|72|276|165|83
5512,226|247|230|125|248|294|72|276|165|83
5513,226|247|230|125|248|294|72|276|165|83
5522,247|230|125|248|276|165|83|204|74|32
5524,226|247|230|125|248|294|72|276|165|83
5527,226|247|230|125|248|294|72|276|165|83
5555,226|247|230|125|248|294|72|276|165|83
5562,226|247|230|125|248|294|72|276|165|83
5570,226|247|125|248|294|72|276|165|83|213
5581,226|247|230|125|248|294|72|276|165|83
5648,226|247|230|125|248|294|72|276|83|213
5666,226|247|230|125|248|294|72|276|165|83
5684,226|247|230|125|248|294|72|165|276|83
5751,226|247|230|125|248|294|72|276|165|83
5774,226|247|230|125|248|294|72|276|165|83
5891,226|247|230|125|248|294|72|276|83|165
5926,226|247|230|125|248|294|72|276|165|83
5940,226|247|230|125|248|294|72|276|165|83
5957,226|247|230|125|248|294|72|276|165|83
6010,226|247|230|125|248|294|72|276|165|83
6016,226|247|230|125|248|294|72|276|165|83
6030,226|247|230|125|248|294|72|276|165|83
6032,226|247|230|125|248|294|72|276|165|83
6132,226|247|230|125|248|294|72|276|165|213
6145,226|247|230|125|248|294|72|276|165|83
6158,226|247|230|125|248|294|72|276|165|83
6166,226|247|230|125|248|294|72|276|165|83
6167,226|247|230|125|248|294|72|276|165|83
6182,226|247|230|125|248|294|72|276|165|83
6220,226|247|230|125|248|294|72|276|165|83
6258,226|247|230|125|248|294|72|276|165|83
6269,226|247|230|125|248|294|72|276|165|83
6294,226|247|230|125|248|294|72|276|165|83
6297,226|247|230|125|248|294|72|276|165|83
6313,226|247|230|125|248|294|72|276|165|83
6323,226|247|230|125|248|294|72|276|165|83
6326,226|247|230|125|248|294|72|276|165|83
6334,226|247|230|125|248|294|72|276|165|83
6337,226|247|230|125|248|294|72|276|165|83
6344,226|247|230|125|248|294|72|276|165|83
6345,226|247|230|125|248|294|72|276|165|83
6346,226|247|230|125|248|294|72|276|165|83
6385,226|247|230|125|248|294|72|276|165|83
6394,226|247|230|125|248|294|72|276|165|83
6395,226|247|230|125|248|294|72|276|165|83
6427,226|247|230|125|248|294|72|276|165|83
6430,226|247|230|125|248|294|72|276|165|83
6443,226|247|230|125|248|294|72|276|165|83
6455,226|247|230|125|248|294|72|276|165|213
6560,226|247|230|125|248|294|72|276|165|83
6577,226|247|230|125|248|294|72|276|165|83
6591,226|247|230|125|248|294|72|276|165|83
6646,226|247|230|125|248|294|72|276|165|83
6649,226|247|230|125|248|294|72|276|165|83
6655,226|247|230|125|248|294|72|276|165|83
6657,226|247|230|125|248|294|72|276|165|83
6665,226|247|230|125|248|294|72|276|165|83
6680,226|247|230|125|248|294|72|276|165|83
6701,226|247|230|125|248|294|72|276|165|83
6730,226|247|230|125|248|294|72|276|165|83
6769,226|247|230|125|248|294|72|276|165|83
6774,226|247|230|125|248|294|72|276|165|83
6777,226|247|230|125|248|294|72|276|165|83
6782,226|247|230|125|248|294|72|276|165|83
6787,226|247|230|125|248|294|72|276|165|83
6795,226|247|230|125|248|294|72|276|165|83
6799,226|247|230|125|248|294|72|276|83|213
6803,226|247|230|125|248|294|72|276|165|83
6827,226|247|230|125|248|294|72|276|165|83
6829,226|247|230|125|248|294|72|276|165|83
6834,226|247|230|125|248|294|72|276|165|83
6851,226|247|230|125|248|294|72|276|165|83
6878,226|247|230|125|248|294|72|276|165|83
6884,226|247|230|125|248|294|72|276|165|83
6917,226|247|230|125|248|294|72|276|165|83
6961,226|247|230|125|248|294|72|276|165|83
6967,226|247|230|125|248|294|72|276|165|83
6975,226|247|230|125|248|294|72|276|165|83
6977,226|247|230|125|248|294|72|276|165|83
6997,226|247|230|248|294|72|276|165|83|213
7005,226|247|230|125|248|294|72|276|165|83
7011,226|247|230|125|248|294|72|276|165|83
7034,226|247|230|248|294|72|276|165|83|213
7041,226|247|230|125|248|294|72|276|165|83
7062,226|247|230|125|248|294|72|276|165|83
7065,226|247|230|248|125|294|72|83|276|165
7096,226|247|230|125|248|294|72|276|165|83
7106,226|247|230|125|248|294|72|276|165|83
7118,226|247|230|125|248|294|72|276|165|83
7133,226|247|230|125|248|294|72|276|165|83
7153,226|247|230|125|248|294|72|276|165|83
7175,226|247|230|125|248|294|72|276|165|83
7180,226|247|230|125|248|294|72|276|165|83
7207,226|247|230|125|248|294|72|276|165|83
7228,226|247|230|125|248|294|72|276|165|83
7259,226|247|230|125|248|294|72|276|165|83
7274,226|247|230|125|248|294|72|276|165|83
7282,226|247|230|125|248|294|72|276|165|83
7286,226|247|230|125|248|294|72|276|165|83
7299,226|247|230|125|248|294|72|276|165|83
7326,226|247|230|125|248|294|72|276|165|83
7368,226|247|230|125|248|294|72|276|165|83
7394,226|247|230|125|248|294|72|276|165|83
7412,226|247|230|125|248|294|72|276|165|83
7443,226|247|230|125|248|294|72|276|165|83
7454,226|247|230|125|248|294|72|276|165|83
7455,226|247|230|125|248|294|72|276|165|83
7505,226|247|230|125|248|294|72|276|165|83
7510,226|247|230|125|248|294|72|276|165|83
7513,226|247|230|125|248|294|72|276|165|83
7515,226|247|230|125|248|294|276|165|83|213
7522,226|247|230|125|248|294|72|276|165|83
7551,226|247|230|125|248|294|72|276|165|83
7569,226|247|230|125|248|294|72|276|165|83
7601,226|247|230|125|248|294|72|276|165|83
7625,226|247|230|125|248|294|72|276|165|83
7650,226|247|230|125|248|294|72|276|165|83
7657,226|247|230|125|248|294|72|276|165|83
7706,226|247|230|125|248|294|72|276|165|83
7714,226|247|230|125|248|294|72|276|165|83
7722,226|247|230|125|248|294|72|276|165|83
7731,226|247|230|125|248|294|72|276|165|83
7755,226|247|230|125|248|294|276|165|83|213
7777,226|247|230|125|248|294|72|276|165|83
7786,226|247|230|125|248|294|72|276|165|83
7828,226|247|230|125|248|294|72|276|165|83
7846,226|247|230|125|248|294|72|276|165|83
7855,226|247|230|125|248|294|72|276|165|83
7869,226|247|230|125|248|294|72|276|83|213
7919,226|247|230|125|248|294|72|276|165|83
7951,226|247|230|125|248|294|72|276|165|83
7981,226|247|230|125|248|294|72|276|165|83
7988,226|247|230|125|248|294|72|276|165|83
7997,226|247|230|125|248|294|72|276|165|83
8046,226|247|230|125|248|294|72|276|165|83
8047,226|247|230|125|248|294|72|276|165|83
8099,226|247|230|125|248|294|72|276|165|83
8108,226|247|230|125|248|294|72|276|165|83
8111,226|247|230|125|248|294|72|276|165|83
8112,226|247|230|125|248|294|72|276|165|83
8157,226|247|230|125|248|294|72|276|165|83
8164,226|247|230|125|248|294|72|276|165|83
8207,226|247|230|125|248|294|72|276|165|83
8222,226|247|230|125|248|294|72|276|165|83
8230,226|247|230|125|248|294|72|276|165|83
8272,226|247|230|125|248|294|72|276|165|83
8291,226|247|230|125|248|294|165|72|276|83
8296,226|247|230|125|248|294|72|276|165|83
8323,226|247|230|125|248|294|72|276|165|83
8330,226|247|230|125|248|294|72|276|165|83
8339,226|247|230|125|248|294|72|276|165|83
8346,226|247|230|125|248|294|72|276|165|83
8423,226|247|230|125|248|294|72|276|165|83
8437,226|247|230|125|248|294|72|276|165|83
8475,226|247|230|125|248|294|72|276|165|83
8512,226|247|230|125|248|294|72|276|165|83
8540,226|247|230|125|248|294|72|276|165|83
8609,226|247|230|125|248|294|72|276|165|83
8619,226|247|230|125|248|294|72|276|165|83
8627,226|247|230|125|248|294|72|276|165|83
8734,226|247|230|125|248|294|72|276|165|83
8738,226|247|230|125|248|294|72|276|165|83
8808,226|247|230|125|248|294|72|276|165|83
8817,226|247|230|125|248|294|72|165|83|213
8838,226|247|230|125|248|294|72|276|165|83
8844,226|247|230|125|248|294|72|276|165|83
8865,226|247|125|248|294|72|276|165|83|213
8877,226|247|230|125|248|294|72|276|165|83
8907,226|247|230|125|248|294|72|276|165|83
8931,226|247|230|125|248|294|72|276|165|83
8947,226|247|230|125|248|294|72|276|165|83
9023,226|247|230|125|248|294|72|276|165|83
9051,226|247|230|125|248|294|72|276|165|83
9155,226|247|230|125|248|294|72|276|165|83
9166,226|247|230|125|248|294|72|276|165|83
9173,226|247|230|125|248|294|72|276|165|83
9194,247|230|125|248|294|72|276|165|83|204
9239,226|247|230|125|248|294|72|276|165|83
9282,226|247|230|125|248|294|72|276|165|83
9284,226|247|230|125|248|294|72|276|165|83
9398,226|247|230|125|248|294|72|276|165|83
9404,226|247|230|125|248|294|72|276|83|74
9405,226|247|230|125|248|294|72|276|165|83
9449,226|247|230|125|248|294|72|276|165|83
9472,226|247|230|125|248|294|72|276|165|83
9501,226|247|230|125|248|294|72|276|165|83
9524,226|247|230|125|248|294|72|276|165|83
9545,226|247|230|125|248|294|72|276|165|83
9552,226|247|230|125|248|294|72|276|165|83
9557,226|247|230|125|248|294|72|276|165|83
9565,226|247|230|125|248|294|72|276|165|83
9576,226|247|230|125|248|294|72|276|165|83
9578,226|247|230|125|248|294|72|276|165|83
9584,226|247|230|125|248|294|72|276|165|83
9612,226|247|230|125|248|294|72|276|165|83
9646,226|247|230|125|248|294|72|276|165|83
9648,226|247|230|125|248|294|72|276|165|83
9665,226|247|230|125|248|294|72|276|165|83
9668,226|247|230|125|248|294|72|276|165|83
9711,226|247|230|125|248|72|276|165|83|213
9720,226|247|230|125|248|294|72|276|165|83
9733,226|247|230|125|248|294|72|276|165|83
9796,226|247|230|125|248|294|72|276|165|83
9806,226|247|230|248|294|72|276|165|83|213
9831,226|247|230|125|248|294|72|276|165|83
9852,226|247|230|125|248|294|72|276|165|83
9873,226|247|230|125|248|294|72|276|165|83
9878,226|247|230|125|248|294|72|276|165|83
9889,226|247|230|125|248|294|72|276|165|83
9949,226|247|230|125|294|72|276|165|83|213
9954,226|247|230|125|248|294|72|276|165|83
9960,226|247|230|125|248|294|72|276|165|83
9961,226|247|230|125|248|294|72|276|165|83
9974,226|247|230|125|248|294|72|276|83|213
9978,226|247|230|125|248|294|72|276|165|83
10016,226|247|230|125|248|294|72|276|165|83
10018,226|247|230|125|248|294|72|276|165|83
10104,226|247|230|125|248|294|72|276|165|83
10159,226|247|230|125|248|294|72|276|165|83
10209,226|247|230|125|248|294|72|276|165|83
10222,226|247|230|125|248|294|72|276|165|83
10268,226|247|230|125|248|294|72|276|165|83
10269,226|247|230|125|248|294|72|276|165|83
10285,226|247|230|125|248|294|72|276|165|83
10382,226|247|230|125|248|294|72|276|165|83
10410,226|247|230|125|248|294|72|276|165|83
10444,226|247|230|248|294|72|276|165|83|213
10500,226|247|230|125|248|294|72|276|165|83
10526,226|247|230|125|248|294|72|276|165|83
10544,226|247|230|125|248|294|72|276|165|83
10545,226|247|230|125|248|294|72|276|165|213
10550,226|247|125|294|72|276|165|83|213|74
10656,226|247|230|125|248|294|72|276|165|83
10663,226|247|230|125|248|294|72|276|165|83
10688,226|247|230|125|248|294|72|276|165|74
10710,226|247|230|125|248|294|72|276|165|83
10748,226|247|230|125|248|294|72|276|165|83
10754,226|247|230|125|248|294|72|276|165|83
10820,226|247|230|125|248|294|72|276|165|83
10838,226|247|230|125|248|294|72|276|165|83
10844,226|247|230|125|248|294|72|276|165|83
10850,226|247|230|125|248|294|72|276|165|83
10871,226|247|230|125|248|294|72|276|165|83
10884,226|247|230|125|248|294|72|276|165|83
10921,226|247|230|125|248|294|72|276|165|83
10923,226|247|230|125|248|294|72|276|165|83
10948,226|247|230|125|248|294|72|276|165|83
10951,226|247|230|125|248|294|72|276|165|83
10973,226|247|230|125|248|294|72|276|165|83
10975,226|247|230|125|248|294|72|276|165|83
11013,226|247|230|125|248|294|72|276|165|83
11015,226|247|230|125|248|294|72|276|165|74
11081,226|247|230|125|248|294|72|276|165|83
11096,226|247|230|125|248|294|72|276|165|83
11102,226|247|230|125|248|294|72|276|165|83
11119,226|247|230|125|248|294|72|276|165|83
11122,226|230|125|248|294|72|276|165|83|213
11134,226|247|230|125|248|294|72|276|165|83
11167,226|247|230|125|248|294|72|276|165|83
11215,226|247|230|125|248|294|72|276|165|83
11281,226|247|230|125|248|294|72|276|165|83
11321,226|247|230|125|248|294|72|276|165|83
11330,226|247|230|125|248|294|72|276|165|83
11350,226|247|230|125|248|294|72|276|165|83
11379,226|247|230|125|248|294|72|276|165|83
11392,226|247|230|125|248|294|72|276|165|83
11397,226|247|230|125|248|294|72|276|165|83
11433,226|247|230|125|248|294|72|276|165|83
11459,226|247|230|125|248|294|72|276|165|83
11468,226|247|230|125|248|294|72|276|165|83
11489,226|247|230|125|248|294|72|276|165|83
11500,226|247|230|125|248|294|72|276|165|83
11523,226|247|230|125|248|294|72|276|165|83
11528,226|247|230|125|248|294|72|276|165|83
11555,226|247|230|125|248|294|72|276|165|83
11570,226|247|230|125|248|294|72|276|165|83
11591,226|247|230|125|248|294|72|276|165|83
11679,226|247|230|125|248|294|72|276|165|83
11744,226|247|230|125|248|294|72|276|165|83
11830,226|247|230|125|248|294|72|276|165|83
11837,226|247|230|125|248|294|72|276|165|83
11899,226|247|230|125|248|294|72|276|165|83
11932,226|247|230|125|248|294|72|165|276|83
11985,226|247|230|125|248|294|72|276|165|83
11995,226|247|230|125|248|294|72|276|165|83
12051,226|247|230|125|248|294|72|276|165|83
12096,226|247|230|125|248|294|72|276|165|83
12122,226|247|230|125|248|294|72|276|165|83
12142,226|247|230|125|248|294|72|276|165|83
12221,226|247|230|125|248|294|72|276|165|83
12225,226|247|230|125|248|294|72|276|165|83
12253,226|247|230|125|248|294|72|276|165|83
12278,226|247|125|248|294|72|276|165|83|213
12286,226|247|230|125|248|294|72|276|165|83
12321,226|247|230|125|248|294|72|276|165|83
12371,226|247|230|125|248|294|72|276|165|83
12422,226|247|230|125|248|294|72|276|165|83
12432,226|247|230|125|248|294|72|276|165|204
12448,226|247|230|125|248|294|72|276|165|83
12458,226|247|230|125|248|294|72|276|165|83
12464,226|247|230|125|248|294|72|276|165|83
12521,226|247|230|125|248|294|72|276|165|83
12525,226|247|230|125|248|294|72|276|165|83
12532,226|247|230|125|248|294|72|276|165|83
12535,226|247|230|125|248|294|72|276|165|213
12553,226|247|230|125|248|294|72|276|165|83
12577,226|247|230|125|248|294|72|276|165|83
12578,226|247|230|125|248|294|72|276|83|213
12590,226|247|230|125|248|294|72|276|165|83
12641,226|247|230|125|248|294|72|276|165|83
12683,226|247|230|125|248|294|72|276|165|83
12724,226|247|230|125|248|294|72|276|165|83
12735,226|247|230|125|248|294|72|276|165|83
12750,226|247|230|125|248|294|72|276|165|83
12768,226|247|230|125|248|294|72|276|165|83
12788,226|247|230|125|248|294|72|276|165|83
12836,226|247|125|248|294|72|276|165|83|213
12867,226|247|230|125|248|294|72|276|165|83
12894,226|247|230|125|248|294|72|276|165|83
12952,226|247|230|125|248|294|72|276|165|83
13039,226|247|230|125|248|294|72|276|165|83
13114,226|247|230|125|248|294|276|165|83|213
13132,226|247|230|125|248|294|72|276|165|83
13151,247|230|125|248|294|72|276|165|83|74
13167,226|247|230|125|248|294|72|276|165|83
