,customerId,products
86,110,"184,184,184"
87,111,"144,144"
88,112,"166,166,133,45,45,21,21,58,30"
89,113,"173,262"
90,114,261
91,115,"3,3,3,282"
92,116,3
93,118,12
94,119,261
95,120,"30,30,30,24,24,24,108,108,108"
96,121,"80,117,97,37,71"
97,122,"77,174,174,3,149"
98,123,"261,134,134"
99,124,"22,144,144"
100,125,265
101,126,44
102,127,"49,195,9,80,37,62"
103,128,"196,116"
104,131,119
105,132,"12,12,24,24"
106,135,"288,151"
107,136,"108,108,24,24,141"
108,138,"62,3,3,168"
109,140,"136,34,288,18,103,21,244,24,62,34"
110,141,"264,12"
111,142,150
112,143,"24,24,108,108,30,30,13,13,13"
113,144,3
114,145,"3,3"
115,146,"30,30,30,3"
116,147,"3,123,21,34"
117,148,"68,117,288,288"
118,149,"145,112,128,128"
119,150,"149,176"
120,151,"24,24,24"
121,153,"264,115,30,12,3,34"
122,154,"37,80,49,39,135,135,135,9"
123,155,"21,196"
124,156,"44,44"
125,157,"21,193,90"
126,158,"21,21,21"
127,159,299
128,160,"3,3"
129,161,"42,42,42,119"
130,163,"264,9,9,262"
131,164,3
132,165,"18,18,52,3,3,3,56"
133,168,"26,21,12,12,12,24,26,42,26,108"
134,169,"16,196,2"
135,171,"3,21"
136,173,"151,80,64,230,230,169,265,193,37"
137,174,"136,21,166,166"
138,175,"21,200,3"
139,176,"244,244,166"
140,177,67
141,178,"3,30,30"
142,179,"119,34,48,264"
143,180,16
144,182,24
145,183,"90,90,90,260,161,161"
146,184,"12,12"
147,185,"3,30,125,151,26"
148,186,3
149,187,"3,3"
150,188,"169,169"
151,189,"12,113,30"
152,191,"3,3"
153,192,"34,34"
154,5,"200,290"
155,9,37
156,11,"67,67,67"
157,12,214
158,15,"3,3,121,121,147,21,21,21"
159,28,18
160,33,"13,13,13"
161,39,"232,51,283"
162,41,"48,3,3,3"
163,52,16
164,70,"12,12,12,235,103,103,30"
165,85,"113,21"
166,86,48
167,101,"202,202,28"
168,106,251
169,109,"45,45,45"
170,115,"62,22,195,39,171,182,182,182,37,37"
171,128,"34,34,34"
172,129,"11,27,27,27"
173,137,"22,108,30,24,3,3,21,46,46"
174,138,158
175,153,237
176,154,"48,48,48"
177,155,149
178,157,"278,26"
179,163,"163,163,108,108,108"
180,166,88
181,170,252
182,173,"78,3,173,21,21,144,45"
183,181,167
184,194,"146,244,290,174,267"
185,195,"176,184,26,176,184,66,21,147,26,78"
186,196,"288,288,182,242,242,140,149,30,30"
187,197,"83,83,83,26,21"
188,199,"298,95,48"
189,200,"253,253,253,108,108,108,119,119,119"
190,201,"2,26,26,123,269"
191,202,"26,26,21,21,21,101,101,101"
192,203,"80,80,9,242,80,49,9,49,242,9"
193,204,"3,3,3,45"
194,205,"253,253,253,1,1,119"
195,207,"21,182,182"
196,208,"3,3,34,34,34,228,21"
197,209,"144,211,16,232,19,212"
198,210,"183,183,44"
199,211,"214,179,290,290"
200,212,"191,50,173"
201,213,"111,111,12,12"
202,214,"14,3,74"
203,215,"264,12,12,12"
204,216,"240,282,292,166,166"
205,217,"147,18"
206,218,"18,147,211,298,196"
207,220,"30,298,3,3,24,108,108"
208,221,"134,102"
209,222,"21,21,18,18,12,12,12"
210,224,"152,152"
211,226,"169,149,120"
212,227,"170,170,170"
213,228,"42,42,26,69,69"
214,229,"69,89,45,69,65,79,69,262,262,89"
215,230,"260,26,228,276,34,207,192,276,26,200"
216,231,"216,260,260,119,119,119"
217,232,"21,21,57,57,194,194"
218,233,"287,45,45"
219,234,"144,24,108,146,192,269,269,269,3,3"
220,235,34
221,236,"273,265,173,74,27,27,238"
222,237,"215,22,3,3"
223,238,"108,108,108,228,298,173"
224,241,98
225,242,"3,2,34,34,34,3,217,21,16,48"
226,243,"24,24,214,3,3,108,108"
227,244,"145,87,42,42,40,13"
228,245,"204,10,144,144,144,64,206"
229,246,"45,45,30,30,30"
230,247,"72,51,176,10"
231,248,"24,24,21,34,12,12,112,30,30"
232,249,"164,164,136"
233,250,"135,111,111,182,9,9"
234,251,"214,3"
235,252,"3,280,280,48,34"
236,253,"235,235,235,112,44,34,21"
237,254,"21,71,71,71,117,117"
238,255,"24,24,24,235,235,21,21"
239,256,"37,37,9,123"
240,257,274
241,258,"209,250,250,250"
242,259,3
243,260,"79,79,169,169,117,185,209,19,19,19"
244,261,"107,45,2,103,103,13"
245,262,"3,21"
246,264,"67,67,82,17"
247,266,"3,22,34,34,34"
248,267,"13,274,3,3,22,2"
249,268,"92,92,49,3,26,9"
250,269,"171,14,21,119,84,119,10,21,193,149"
251,270,"237,237"
252,271,"144,144,31"
253,272,"199,100,237,192,238"
254,273,16
255,274,14
256,275,"30,30,30,12,12,12,199"
257,276,"21,26,214,214,214,3,173,44,44"
258,277,"13,187"
259,278,"71,151,74,61,117,74,267,103,61,117"
260,279,"13,290,290,290,24,24,65,65"
261,280,"135,98,16,274,116"
262,281,48
263,283,"26,26,282,3,3,13"
264,284,"212,119,119,290"
265,285,"122,122,122"
266,286,"25,78,78,14"
267,287,"103,103,103,288"
268,288,"51,259,134,159,196"
269,289,"270,248,260,276,146"
270,290,45
271,291,"50,197,191,39,49,197,9,62,49,50"
272,292,"202,202"
273,296,2
274,297,"194,194,42,42,42,18"
275,298,"61,134,32,167,269,269,290,290"
276,299,"12,47,2,58"
277,301,97
278,302,"2,103,3,3,3,168,116,49,80,200"
279,303,"7,7,7"
280,304,"147,98,225"
281,305,157
282,306,"111,111"
283,307,"2,268"
284,308,"229,10,10"
285,309,"22,298,48"
286,311,"171,284,284,79"
287,312,"96,92,92"
288,313,62
289,315,194
290,316,298
291,317,"26,173,67,125,169,225"
292,318,"48,12,24,30"
293,319,"30,3,3,215,215,24,24,12,12"
294,320,"216,135,196,149,171,171"
295,322,"3,21,21"
296,323,"30,24"
297,324,"17,17"
298,326,"58,21,72,26"
299,327,"239,261,261"
300,329,"50,13,251,176,52,50,45,191,251,67"
301,330,"21,21,288,288"
302,331,270
303,332,"103,103,3,3"
304,333,"147,34,112,143"
305,335,184
306,336,"3,110,119,27,225,115,119,110,119,144"
307,338,98
308,339,"30,30,108,108,34,24,24"
309,340,"14,299,34"
310,342,"37,45,45,45,3,12,12,12,195"
311,343,161
312,344,"69,69,253,253,253"
313,345,"21,21,215,215,215,34"
314,346,"59,59,59,16,16,16"
315,347,"213,27,27"
316,349,"67,273,40,284"
317,350,"214,161"
318,351,"5,85,14"
319,353,"40,3,22"
320,354,"3,3"
321,358,33
322,359,143
323,360,"3,3"
324,361,3
325,362,"3,168"
326,363,"34,136"
327,366,"128,128,128"
328,367,"200,200,228"
329,369,"12,12,12,24,24,108,21"
330,370,"108,251,24"
331,371,"34,30,30"
332,373,"144,21"
333,375,47
334,376,299
335,377,"209,232,72,72"
336,379,"48,264,264,21"
337,380,3
338,381,"290,38,38,38,176,176,119,119,119,215"
339,383,"14,44,283"
340,385,167
341,386,"51,24,24,77,276,21,199"
342,387,"107,207"
343,388,18
344,389,"85,194,194,214,3,3"
345,391,"12,12,12,24,24,24"
346,393,"80,9"
347,394,"48,237,237"
348,395,"112,34"
349,396,"21,3,3,3"
350,398,"153,42,42,235,235,21,21"
351,400,"214,10,3,78,283,101"
352,401,"108,108,24,24,12,12"
353,402,"47,178,178,21"
354,403,"34,3,3"
355,404,"193,193,193"
356,406,"21,3,3"
357,408,"3,3,229,98,92,92"
358,410,196
359,412,"125,92,92"
360,413,"234,3,95"
361,414,"191,186"
362,415,"237,149"
363,416,"51,51,10,10,10"
364,418,89
365,420,"30,30,30"
366,421,"92,92"
367,423,"3,3,52,52"
368,427,"3,3,3"
369,428,"95,146,288"
370,430,34
371,432,"22,44,44"
372,435,"161,161"
373,437,"262,48,30,24"
374,441,"12,24"
375,443,"45,34,3,45,45,26,3,262,49,9"
376,444,78
377,445,"244,244,244"
378,446,"247,247,155,155"
379,447,"187,187,34"
380,448,"34,3"
381,449,"269,16"
382,450,"27,269"
383,451,"183,183,183,59,59,59"
384,452,"111,3,160,19,58,251,265,235,111,19"
385,453,"214,214,214"
386,454,176
387,455,"21,33,33"
388,456,"235,235,235"
389,457,"121,34,264,264,3,3"
390,458,"135,45,21,182,180"
391,459,"21,21,21"
392,460,"215,21,21,21"
393,461,"185,185"
394,462,"108,37,299,26,80,26,24,9,108,49"
395,463,"176,267,266,266"
396,464,"129,16,89,89,89,230,230,77"
397,465,"24,30,12,218,34,13,24,264,12,24"
398,466,"285,54,54,78,34,3,48,247,247"
399,467,265
400,468,"45,45,111,107,202,62,274,3,111,3"
401,469,58
402,470,"98,230,230"
403,471,"67,125,61,61"
404,474,24
405,475,"202,51,126,126,10,260"
406,477,"196,163,3,16"
407,478,"48,21"
408,481,16
409,483,3
410,484,"12,12"
411,485,"26,169,169,131"
412,486,"134,134,134"
413,487,"78,149,182"
414,488,"3,3,46,214,2"
415,490,"45,45,45,134,134,134"
416,491,"12,12,12"
417,493,"45,45,185,185"
418,494,182
419,495,3
420,496,"18,18"
421,497,"4,4,4"
422,499,"30,30,30,107,107,12,12,12"
423,500,"112,62"
424,501,"30,30,21,21,24"
425,502,145
426,503,"18,215"
427,504,"21,21"
428,505,"265,80,8,232,266,284,193,56,195,212"
429,506,158
430,507,45
431,508,"112,151,288,71"
432,509,"111,111,26"
433,510,"280,280"
434,511,34
435,512,"260,22"
436,514,196
437,516,"3,3"
438,517,"112,291,65,210,10,10"
439,519,"231,231,231"
440,520,"207,68,103,252"
441,521,"135,108,30,24,149,171"
442,523,"191,191,50"
443,524,"280,41,235,50"
444,525,"3,3"
445,526,"27,46,10"
446,527,"34,34"
447,530,33
448,531,"183,183"
449,532,"167,167,287"
450,533,235
451,534,58
452,535,"240,240,240,3"
453,536,"103,214"
454,538,"3,3,9,9,37"
455,539,"136,258,10,232,215,215"
456,540,"45,112,51,183"
457,541,"14,21,21,21,77,200"
458,542,"248,248"
459,543,"210,42,42,42,69,69"
460,544,100
461,545,"49,280,103,187,221,262,49,214,187,187"
462,546,"112,21,21,166"
463,547,"3,3"
464,548,"214,214,214"
465,550,"26,26,298,237,237"
466,551,"231,231,231"
467,552,"283,34,34,34,141,294,214,112,112,112"
468,554,"14,43"
469,555,"10,10,200"
470,556,"264,212,192,269"
471,557,"288,161,161"
472,559,225
473,560,"257,21,22"
474,563,"34,21,21"
475,564,"83,155,155,155,174"
476,566,"235,235,287"
477,567,274
478,568,"146,146,258,192,192"
479,569,"25,25,89,30,30,214,24,261"
480,570,34
481,571,"24,24,30,30,108,108"
482,573,"237,237,63,200,24,24"
483,574,"167,16,16"
484,576,"297,3"
485,578,"12,12,12"
486,579,"173,173,173,21,21"
487,580,"21,3,178,178,178"
488,581,3
489,583,298
490,584,24
491,585,"12,12,3,3,108,108"
492,586,"42,42,34"
493,589,112
494,590,"24,17,108,30"
495,591,"24,24"
496,592,"242,147"
497,593,"50,191,191,3,228"
498,594,"3,164,164,164"
499,595,"3,182"
500,598,"136,136,42,42,42,3,3"
501,599,"71,136,13,13,67,67,63"
502,600,"50,50,191,191"
503,601,"225,34"
504,602,242
505,603,3
506,607,"34,34,251"
507,609,"119,119,34,34"
508,611,"237,177,14,147"
509,615,"63,117"
510,616,163
511,617,182
512,618,112
513,620,"174,174,83,83,83"
514,621,144
515,625,"231,231,231"
516,627,"58,46"
517,628,"183,183,183,10,10,10"
518,629,"30,30,12,12"
519,630,98
520,632,60
521,633,"3,64,2"
522,636,"164,164,164"
523,637,21
524,640,134
525,641,25
526,642,"112,112,112"
527,645,83
528,647,"214,214"
529,650,"26,215"
530,651,"257,4,4,4"
531,653,"21,242,119,119,16"
532,654,3
533,655,"56,87"
534,657,"14,3,3,260"
535,659,"71,202,199"
536,660,"3,9"
537,661,"110,110,3,56"
538,662,"44,13,108,108"
539,663,"3,3,3,10"
540,665,"87,167,251,123,59,235"
541,667,"266,26"
542,668,"34,34,34"
543,671,90
544,673,"237,237,37,68,49"
545,674,"210,210"
546,675,"237,237,26,151,30"
547,676,"14,137,137,44,44,153,30,30,30"
548,677,26
549,678,"24,30,3,3,240,171,265,45,12,24"
550,679,"163,115,45"
551,680,"24,24,30,30,115,115,12"
552,681,"119,119,288,237,237,42"
553,683,"112,45"
554,685,"237,13,18,237,95,38,10,38,10,160"
555,686,"108,30,12"
556,687,"159,159,7,7"
557,688,"282,128,288,128,128,173,282,136,282,45"
558,689,"196,21"
559,691,69
560,692,26
561,693,"56,122,122,115"
562,694,"241,241,241"
563,695,"260,3,3,215,44"
564,696,"237,237,237"
565,698,"3,13,264,264,264"
566,699,"24,180"
567,700,"26,21,50,191"
568,701,231
569,702,14
570,703,"2,30,30,147,24,24,24"
571,704,103
572,705,"287,37,80,9,9,89,24,39,108"
573,706,"282,282,90,21,21,260,200,13,13"
574,707,"48,3,3"
575,708,235
576,709,"34,34"
577,710,"196,62"
578,711,"108,24,30,12,34,34"
579,712,"3,34"
580,713,"3,3,41,199,19,19,110"
581,714,"3,212,265,3,16,34,136,3,21,34"
582,715,153
583,716,27
584,718,3
585,721,"291,3,3"
586,722,"264,166,166,31"
587,723,162
588,724,72
589,725,"269,41"
590,727,"27,7"
591,731,27
592,732,"62,2,61"
593,734,"45,45,45,10,10,196,298"
594,735,"16,3,3,3,264,264"
595,736,"21,121,103"
596,738,"71,189"
597,740,21
598,741,"18,21,21,21"
599,742,150
600,744,"248,248,21"
601,745,"199,184,184,184,10,10"
602,746,52
603,748,"170,30,253,24"
604,749,"197,18,18"
605,750,"24,24,108,108,41,51,21,21,30,30"
606,751,"24,135,135,30,30,211,13"
607,753,"14,14"
608,754,"3,3,255"
609,756,27
610,758,"90,50,50,50"
611,759,"228,48"
612,760,"10,10,10,51,51,51,27,27,27"
613,762,"21,21"
614,763,"251,251"
615,764,"299,16"
616,767,"112,51,51,34"
617,768,"174,174,174"
618,769,"3,24,30"
619,770,"42,42"
620,771,"3,232,199,199,199"
621,772,"34,34,34"
622,774,"97,144"
623,775,287
624,776,"59,59,59"
625,777,"218,215"
626,778,"144,196,135,135,135"
627,779,10
628,781,22
629,782,"157,157,157,41,41"
630,784,"79,61,217,26,94,94,230,230,230"
631,785,"22,112,24"
632,787,40
633,788,"160,160"
634,789,"214,214"
635,792,"12,12,3,3,24,24,108,108"
636,793,"244,38,38,38"
637,794,"79,34"
638,797,"137,193,258,98"
639,798,"12,12,30,30,24,24"
640,799,"80,80,288,37,3,3,9,63,63"
641,800,"231,231,231,281,281"
642,801,144
643,802,"3,3"
644,804,"62,63,234"
645,805,52
646,806,"108,30,34"
647,807,103
648,808,52
649,810,"21,237,237"
650,811,"2,44"
651,812,"214,34"
652,813,137
653,814,"108,110"
654,816,"21,34,34"
655,819,"183,129,10,78"
656,820,"49,37,37,3,9,176,62"
657,821,"14,10"
658,822,"214,214,119,119,55,55"
659,823,264
660,824,"80,230,230,37,37,39,9,49"
661,825,"183,13,13,13,10"
662,826,"62,62,264,264,264"
663,827,26
664,828,"18,18,288,16,112,112,112"
665,830,"185,185,12,185,108,24,30,216,24,24"
666,831,"16,279"
667,832,"287,116,188,188"
668,833,125
669,834,"237,37"
670,835,72
671,837,"151,26,193"
672,839,"30,30,24,24"
673,840,"3,71,21,22,42,42,42"
674,842,"111,111,3,3,22"
675,843,218
676,845,79
677,846,"214,214,173,112,112,197,197"
678,848,"226,226,191,3"
679,849,"77,18"
680,850,"74,41,160,12,12,12,13,56,56"
681,851,21
682,852,"21,3,77"
683,853,"200,147,147,298"
684,854,"24,24,3,169,176"
685,855,3
686,857,264
687,858,"21,131"
688,859,"37,121"
689,860,"3,3"
690,861,13
691,863,"146,212,12,12,3"
692,865,"265,24,24,262,37,30,30,34,34"
693,866,"201,201,34,34,34"
694,867,"2,60,44"
695,869,"29,269,26,288,288,248"
696,871,"30,24,108,108"
697,872,"26,26"
698,873,"49,2,45,107,62,79,230,230,3"
699,875,251
700,876,"183,183,183"
701,878,"24,30,185"
702,880,"10,288,12,12,45,8"
703,883,217
704,886,"108,30,30,24,150,37,9"
705,887,"108,108,2,110,24,24,30,30"
706,889,"103,3"
707,890,"61,235,230,62,290,97,168,3"
708,892,"112,112,112"
709,893,"21,21,21,24,12,12,12,13,103,103"
710,894,"95,231,231,231,135"
711,895,"30,108,24"
712,896,"37,16,35,35,35,121,121,111,111"
713,898,"30,30,12,12,247,247,247,285,285,285"
714,899,153
715,900,"34,34"
716,901,"232,134,45,274,274"
717,902,"235,225,35,35,35,29,29,29"
718,903,"219,219,260,209,209"
719,904,221
720,906,"3,248,21"
721,907,"30,30,24,24,108,108"
722,909,"113,221,184,184,18"
723,913,"10,10,10,283,283,283"
724,914,"5,5"
725,915,"68,139,139"
726,916,"103,103,199,139,139,134,187,187"
727,919,67
728,920,"281,234"
729,921,199
730,924,"111,111,13,244"
731,925,"183,183,183"
732,926,"18,283,283"
733,930,"163,163"
734,931,"3,30,30,30,12,12,240"
735,933,"157,157,21,44,189,68,141,221,18"
736,935,"37,37,49,49,9,9,39,39"
737,937,"13,214,214,214,281"
738,938,"3,3"
739,940,"280,188,48"
740,941,3
741,942,"5,48"
742,943,"30,30,30,3"
743,944,"24,24,30,30"
744,945,"274,196,181"
745,946,"134,45,45,89"
746,948,182
747,949,"221,221,264,51,51"
748,950,"237,237"
749,951,26
750,952,"192,192,3,3,146"
751,953,300
752,955,"65,237,237"
753,956,"18,18"
754,959,"110,193"
755,960,"115,12,12,3,3,68,225,225"
756,961,"69,69,79"
757,963,"3,28,182,182,182,149,149,149"
758,964,287
759,965,110
760,967,"125,34,45"
761,968,"24,56,30,211,108"
762,969,"16,264,110,280,280"
763,971,"88,21"
764,972,"27,27,27"
765,973,3
766,974,"242,112"
767,975,"214,214,294,146,146,78"
768,976,"16,16,16,24,24,24"
769,977,"27,27,228,228,178,178"
770,978,62
771,979,"251,44,12,12,12,30,14"
772,980,"34,196,3"
773,986,"283,283,283"
774,987,136
775,988,77
776,990,"12,12"
777,992,"24,24,30,30,108,108"
778,993,217
779,995,180
780,996,"24,24,24,108,108,108"
781,998,"184,184,184"
782,999,44
783,1000,"21,21,44,44,44"
784,1001,"34,151"
785,1004,"3,12,12,12"
786,1006,"12,12,12"
787,1007,"155,155"
788,1008,34
789,1009,"3,3"
790,1010,"69,69,69"
791,1011,110
792,1013,"45,45"
793,1014,"38,38,38,21"
794,1016,"112,112,112,262,262,262"
795,1017,"12,12,12,3,3,24,24,24"
796,1018,61
797,1022,93
798,1024,"171,232"
799,1025,34
800,1026,21
801,1027,"21,21,21"
802,1028,"158,176,216"
803,1029,261
804,1030,"21,3"
805,1031,"27,27,27"
806,1032,"153,3"
807,1034,"218,218,218,18,202,45,167,2"
808,1035,"144,230,230,106"
809,1036,"300,140,140"
810,1037,"232,232,232"
811,1038,"158,283,129"
812,1039,"4,4,4,21,21"
813,1040,"155,155,155,183,183,183"
814,1041,"21,134,134,22,51"
815,1042,"164,231,231,231"
816,1043,"164,164,128,128,128,260"
817,1044,"111,111,111"
818,1045,"85,44"
819,1046,"298,184,184"
820,1047,26
821,1048,"67,264,34"
822,1049,"17,17"
823,1050,"55,214,214,21,21"
824,1051,"34,214"
825,1052,250
826,1053,"27,27,27,78,269,269,209,260,260,21"
827,1054,"216,48,21"
828,1055,"131,8,173,67,10,241,67,288,168,51"
829,1057,"87,21,19"
830,1058,"2,2,3,3,3,44,44,281"
831,1060,"268,161,161"
832,1061,228
833,1062,"278,221,34,85,44,3,3"
834,1063,"218,218,134"
835,1064,"21,21,235"
836,1065,13
837,1066,"281,281,214,214"
838,1067,"122,122,122,25"
839,1068,"3,95,22"
840,1069,"221,3"
841,1070,"144,144,163"
842,1071,"59,19,19,1,1"
843,1074,"12,12,90,90,90,270,108,21"
844,1075,"95,24,108,30"
845,1076,"163,30,30,103,220,34,38,92,38,103"
846,1077,16
847,1078,"166,166"
848,1079,23
849,1080,143
850,1081,"196,232,232"
851,1082,"290,290"
852,1083,"24,24,24,79,79,34,30,30,79,30"
853,1084,"116,116"
854,1085,"26,27,3,3,28,21,21"
855,1086,"12,12,26,21,24,176,30,30,108"
856,1087,3
857,1088,"106,287"
858,1089,"235,21,145,16"
859,1090,"176,173,210,30,21,24"
860,1091,5
861,1092,"231,3,112"
862,1093,"14,14,14,163,163,2,16"
863,1094,"121,264,264,3,3,34"
864,1095,"94,290,14,71,71"
865,1096,"3,3,235,113,71"
866,1098,"3,201,201,2,2,257"
867,1101,"16,79,262"
868,1105,209
869,1106,134
870,1107,89
871,1109,"2,39"
872,1111,"196,252,24,108"
873,1113,"24,24,24,12,12,12"
874,1114,"235,298"
875,1116,"115,225"
876,1117,"291,291,202,202,202,41,41,41"
877,1118,"3,3,95,37,193,9"
878,1120,3
879,1133,"24,12,12,30,108"
880,1135,"45,45,196,17"
881,1136,"252,101,21,21,21"
882,1138,"24,24,197,197,197,228,183,108,108"
883,1139,"254,254,254,21,21"
884,1140,3
885,1141,268
886,1143,"44,169,300"
887,1146,"12,12,12"
888,1148,"21,21,235,14"
889,1151,"288,45,45,45,136,158,158,21,21,21"
890,1157,"95,42,69"
891,1160,119
892,1161,"57,66"
893,1163,"108,108,30,30,30,45,45"
894,1176,"69,69"
895,1178,"163,163,199"
896,1179,"282,282,24,30,282,21,30,24,21,24"
897,1180,"67,67,145,243"
898,1181,"3,3"
899,1202,"283,283,283"
900,1203,"39,195,80,49"
901,1204,"48,211"
902,1207,"13,21,21"
903,1228,22
904,1229,53
905,1230,33
906,1231,"21,21,21"
907,1253,62
908,1264,146
909,1265,"235,3"
910,1292,"10,10,10"
911,1309,82
912,2049,"62,234,3"
913,2050,"21,21"
914,4,"197,197,197"
915,2053,"30,12,12,12,24,24"
916,6,"92,92"
917,2058,"49,151"
918,2059,30
919,12,"288,105,51,112,21"
920,2061,"235,235,235"
921,2062,"45,45,45"
922,2065,53
923,2066,15
924,2067,"214,214,214,14,78,44,44"
925,2069,214
926,2070,"21,112,112"
927,23,200
928,30,"260,210"
929,2054,"56,56,56"
930,2081,"77,77,77,95"
931,2055,"21,21"
932,49,"18,34"
933,57,"248,45,45"
934,59,"135,135,220"
935,2109,"24,24"
936,2110,252
937,65,299
938,2060,53
939,70,"39,21"
940,77,62
941,2131,21
942,2063,"3,3,226"
943,2154,"249,249,249,133"
944,111,59
945,115,"296,191,50,50"
946,2176,"146,196"
947,138,"258,182,44,182,44,14,171,44,182,149"
948,2188,48
949,2207,"237,237,237"
950,163,"98,110,14"
951,166,62
952,169,"82,13"
953,2226,"235,235,235"
954,179,266
955,2228,"13,21,21,288"
956,182,"9,9,195"
957,183,13
958,192,"175,175,175,92,92,92"
959,196,98
960,202,45
961,204,"175,175,175,260"
962,220,"298,12,12,296,3,67"
963,2280,"10,10"
964,246,"34,34,34"
965,2309,"155,155"
966,266,226
967,279,8
968,280,"8,8,24,24,21,21,21,160"
969,297,"78,101"
970,339,"24,24,24,30,30"
971,345,"217,15,15"
972,351,"7,41"
973,362,15
974,372,209
975,2111,149
976,388,"3,56"
977,423,"111,19,37,111,49,158,13,217,19,39"
978,438,18
979,460,"195,195,80,80,49,49,39,39"
980,463,"44,44,261,261"
981,481,16
982,495,45
983,502,"191,191,158,50,50"
984,514,98
985,534,"52,8"
986,541,"15,12,12,12,108"
987,550,"149,214,214,98,19,78,15"
988,574,204
989,2248,45
990,618,"232,12,24,108"
991,619,79
992,620,"3,123"
993,647,136
994,666,"25,25,12,12,12"
995,683,"197,197,197"
996,690,185
997,705,266
998,711,"281,212"
999,712,"2,232,232"
1000,714,"10,134,108,35,136,21,108,35,171,10"
1001,717,16
1002,2071,18
1003,737,"125,125"
1004,739,"197,197,197"
1005,760,"10,27,27,27,51"
1006,762,173
1007,790,237
1008,791,"15,194,194"
1009,804,"34,34,34"
1010,809,"15,15,163,163,163,264"
1011,2187,"21,21,21"
1012,832,"265,265,188,188,188"
1013,881,"50,191,191"
1014,900,"144,15"
1015,912,"237,237"
1016,919,252
1017,922,78
1018,928,"22,167"
1019,935,"50,191,167"
1020,954,"21,21,21"
1021,958,"12,197,197,26"
1022,963,"110,110"
1023,969,"89,89"
1024,971,278
1025,980,"45,34"
1026,999,"209,44,197"
1027,1026,176
1028,1028,"83,83,83,16,242,125"
1029,1032,51
1030,1038,"216,16,16"
1031,1066,"195,7,7,136,103,187"
1032,1069,"195,195,21"
1033,1085,"16,8,226"
1034,1102,"68,68,47,47,47,165,287"
1035,1103,"21,21,21"
1036,1110,220
1037,1117,"108,108,108"
1038,1121,"16,147,16,10,97,25,22,264,183,147"
1039,1122,"211,13"
1040,1123,"92,226,21"
1041,1124,"46,46"
1042,1125,116
1043,1126,"150,34,34,34,290,290,290,288,288"
1044,1127,13
1045,1128,22
1046,1129,141
1047,1130,"12,12,108,24,197,197,197,30,30"
1048,1131,"30,12,15,15,24,21,1,1,1,57"
1049,1136,"12,12,12"
1050,1153,"171,234,18,95"
1051,1154,"158,26,288,85,228,40,277,277"
1052,1163,"158,15,115,9,1,22,37,1,9,16"
1053,1165,3
1054,1168,"78,14,14"
1055,1169,"21,21"
1056,1170,"115,12"
1057,1171,"130,134"
1058,1172,"267,3,257,146,146,146,147"
1059,1173,16
1060,1174,152
1061,1180,48
1062,1184,"217,44,100,167,85,88,88,88"
1063,1186,"9,176,56,80,49,173,9,37,136,22"
1064,1187,"300,21,147,53"
1065,1188,"282,3,103,187,264,282,3,3,103,264"
1066,1189,"264,260"
1067,1190,"28,28,1"
1068,1191,"77,157,93"
1069,1193,"197,197"
1070,1194,193
1071,1195,"34,288,16,25,150"
1072,1196,"95,30,30"
1073,1197,"3,3"
1074,1198,"30,30,12,12,288,108,24,97,15"
1075,1199,"262,97,68,274,274"
